PID,experimenter,location,gender,age_M,age_Y,age_group,condition,CB_order,prior_experience,color_choice,comp_check,manip_check,Happy Rating 1,happy_1,Sad Rating 1,sad_1,Angry Rating 1,angry_1,Fairness Rating 1,fair_1,Fairness explanation 1,diffs,look_time_hh:mm:ss,look_time,play_again,attribution,Cause Explanation,change,Change Explanation,board_choice,board explanation,Happy Rating 2,happy_2,Sad Rating 2,sad_2,Angry Rating 2,angry_2,Fairness Rating 2,fair_2,Fairness Explanation 2
EB01,Josie,Zoom,F,80,6,B,Equal,1,Y,Orange,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,because we didn't both win,0,0:01:22,82,Y,Structural,because they get bigger numbers,Y,they can get bigger numbers so they pass the slides,Disadvantaged,"because it makes more sense that way, so they have their own thing",Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,becase I won
EB02,Kaiah,Zoom,M,82,6,B,Equal,2,Y,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Cause...we get to play a game that is actually really fun, that I like",2,0:05:00,300,N,Internal,being more focused on where you're going to go and if any accidents happen,Y,maybe...like if they are really lucky,Disadvantaged,Cause there is less orange slides,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because we were moving on and it was a really fun game
EB03,Kaiah,Parks,M,72,6,B,Equal,3,N,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,.,1,0:00:33,33,Y,Internal,because they practice,Y,because they practice,Equal,I want to go on all the slides and ladders and I want the other player to be able to go up all the slides and ladders,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because we both had fun
EB04,Rachael,Zoom,F,84,7,B,Equal,1,Y,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Because everyone can get a chance to win and you don't even know who wins. I mean you might be in the lead but someone might get in front of you, so you don'y know if you're gonna win or the other player. ",1,0:01:53,113,Y,Structural,There's so many ladders,Y,"(probably)...maybe if they were at a slide, they could hope for a certain number to get a ladder",Equal,Because there's so many slides for the orange and not so many for the green,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because we got a lot of the same things mostly and we ended up at the same spot a lot
EB05,Rachael,Zoom,F,81,6,B,Equal,3,Y,Green,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Because we got to the same level,1,0:02:16,136,N,.,I don't know...,Y,If the wheel gives them a bigger number,Equal,.,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,"We were both on the same spot so it didn’t really mater which number we were gonna get, so I just got lucky"
EB06,Rachael,Zoom,M,87,7,B,Equal,1,Y,Green,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because there's ladders and slides,1,0:01:48,108,Y,Internal,By practicing,Y,Because they practiced a lot,Disadvantaged,Because I don’t want to go down the slide a lot,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because of the slides…I didn’t get to go down as much
EB07,Kaiah,Zoom,M,83,6,B,Equal,2,Y,Green,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,well we are doing the same thing really just on different screens,0,0:03:18,198,Y,Structural,The ladders...other people getting slides,N,Not much! because its luck...the spinner is luck,Equal,Because I like it!,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,because it is a spinner...its the same board...its the same thing basically except that we are on different screens
EB08,Kaiah,Zoom,F,92,7,B,Equal,3,Y,Orange,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,"because i got to move on my own, but maybe they got to have a ladder they got",1,0:02:12,132,Y,Structural,because um it's just luck how much numbers you get,Y,because some peopel get really lucky numbers and they go up ladders so many times,Equal,because on THIS board (disadvantaged board) theres more green ladders than orange ladders...there's only two orange ladders and there is more orange slides,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,because maybe the spinner would just like it stops on the ladders for me and for the other person
EB09,Josie,Parks,F,88,7,B,Equal,1,N ,Orange,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Don't know,1,0:02:07,127,N,Structural,Not coded,Y,try to get more,Equal,"Won't be harder, the other board is unfair because you can only use the slides and ladders that match your color",Really happy,4,Really sad,4,Not angry at all,1,A little fair,3,I won
EB10,Kate,Zoom,F,83,6,B,Equal,2,Y,Green,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because no one was cheating,1,0:01:47,107,Y,Internal,No cheating,Y,Like when I'm almost to the finish they could win,Equal,Because I saw there're just two green ladders and a lot of orange ladders and there is a lot of green slides. That would be tricky for me.,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really unfair,1,Because nobody cheated.
